"","X1","X2","X3"
"328","MIZIL","45.0030701","26.443732"
"329","MOINESTI","46.4744981","26.4902543"
"330","MORENI","44.9830676","25.6453554"
"331","MOTRU","44.8011015","22.9678763"
"332","NANDRU","45.8033076","22.825719"
"333","NASAUD","47.2828598","24.4108077"
"334","NECHIT, COM. BORLESTI",NA,NA
"335","NEGRESTI-OAS","47.8729981","23.4270139"
"336","NEMTISOR, COM. V<U+0395>NATORI-NEAMT",NA,NA
"337","NICOLAE BALCESCU, COM. NICOLAE BALCESCU",NA,NA
"338","NICOLESTI","46.4391764","25.8444556"
"339","OCNA MURES","46.3814028","23.8577354"
"340","ODORHEIU SECUIESC","46.3047462","25.2950261"
"341","OGLINZI, COM. RAUCESTI",NA,NA
"342","ONESTI","46.2520269","26.770213"
"343","ONTARIO CANADA","50.000678","-86.000977"
"344","ORADEA","47.0549163","21.9285231"
"345","ORASTIE","45.8367637","23.1958453"
"346","ORAVITA","45.0381333","21.6860595"
"347","OROSIA","46.4565107","24.140508"
"348","OTOPENI","44.5507941","26.0729271"
"349","OZUN","45.8008193","25.8476644"
"350","PALTINIS","45.4350664","22.162889"
"351","PASCANI","47.2480765","26.7256423"
"352","PAULESTI","46.3005502","22.7780957"
"353","PECICA","46.1666788","21.0666809"
